Entity Name,EIN,Entity Type,Box 1 Income/(Loss),Self-Rental?,Material Part?,Character,QBI Amount,Basis Status,State Issues,Review Notes
ABC Operating LLC,12-3456789,1065,-50000,No,Yes,Non-Passive,-50000,OK,OH PTE elected,Operating loss
DEF Properties LP,98-7654321,1065,30000,Yes,No,Passive,0,OK,None,Rental to unrelated
GHI Real Estate LLC,11-1111111,1065,-20000,Yes-to ABC,N/A,Passive,0,Limited,KY LLET due,Self-rental loss stays passive
JKL Holdings S Corp,22-2222222,1120S,15000,No,Yes,Non-Passive,15000,OK,IN throwback applies,Check reasonable comp
Sample Partnership 1,00-0000000,1065,0,No,No,Passive,0,OK,,
Sample Partnership 2,00-0000000,1065,0,No,No,Passive,0,OK,,
Sample Partnership 3,00-0000000,1065,0,No,No,Passive,0,OK,,
,,,,,,,,,,
TOTALS,,,=SUM(D2:D8),,,,=SUM(H2:H8),,,
,,,,,,,,,,
PASSIVE ACTIVITY SUMMARY,,,,,,,,,,
Activity Type,Income,Loss,Net,,,,,,,
Non-Passive,=SUMIF(G2:G8;"Non-Passive";D2:D8),=SUMIF(G2:G8;"Non-Passive";D2:D8),=B14+C14,,,,,,,
Passive,=SUMIF(G2:G8;"Passive";D2:D8),=SUMIF(G2:G8;"Passive";D2:D8),=B15+C15,,,,,,,
Self-Rental Recharacterized,0,0,=B16+C16,,,,,,,
,,,,,,,,,,
QBI SUMMARY,,,,,,,,,,
QBI Category,Amount,W-2 Wages,UBIA,Limitation,,,,,,
Total QBI Income,=SUMIF(H2:H8;">0";H2:H8),,,,,,,,,
Total QBI Loss,=SUMIF(H2:H8;"<0";H2:H8),,,,,,,,,
Net QBI,=B20+B21,,,,,,,,,
,,,,,,,,,,
KEY METRICS,,,,,,,,,,
Check Item,Status,Action Required,,,,,,,,
Basis Limitations Exist?,=IF(COUNTIF(I2:I8;"Limited")>0;"YES";"No"),=IF(B26="YES";"See Basis Tab";"OK"),,,,,,,,
Self-Rental Issues?,=IF(COUNTIF(E2:E8;"Yes")>0;"YES";"No"),=IF(B27="YES";"Review Recharacterization";"OK"),,,,,,,,
Passive Losses Suspended?,=IF(C15<0;"YES";"No"),=IF(B28="YES";"Track Carryforward";"OK"),,,,,,,,
QBI Aggregation Possible?,=IF(COUNTIF(H2:H8;"<>0")>1;"Check";"N/A"),=IF(B29="Check";"See QBI Tab";"OK"),,,,,,,,
