Rental Entity,Tenant Entity,Rental Income/(Loss),Material Part in Tenant?,Original Character,Recharacterized As,Tax Impact
GHI Real Estate LLC,ABC Operating LLC,-20000,Yes,Passive,Passive,No Change - Loss stays passive
Sample Property LLC,Sample Operating Corp,50000,Yes,Passive,Non-Passive,RECHARACTERIZED - Income
Another Property,Another Business,30000,No,Passive,Passive,No Change
,,,,,,,
GROUPING ELECTION ANALYSIS,,,,,,,
Potential Grouping,Rental Entity,Operating Entity,Same Business?,Common Control?,Geographic?,Interdependent?,Eligible?,Benefit?
Group 1,GHI Real Estate,ABC Operating,Yes,Yes,Yes,Yes,=IF(COUNTIF(D8:G8;"Yes")>=2;"YES";"No"),=IF(AND(H8="YES";C2<0);"Unlock Losses";"No Benefit")
Group 2,,,,,,,,
,,,,,,,
IMPACT SUMMARY,,,,,,,
Scenario,Without Recharacterization,With Recharacterization,Tax Difference,,,,
Total Passive Income,50000,20000,=(C13-B13)*0.37,,,,
Total Non-Passive,-35000,-5000,=(C14-B14)*0.37,,,,
PAL Suspended,-20000,0,=B15-C15,,,,
,,,,,,,
DOCUMENTATION CHECKLIST,,,,,,,
Required Documentation,Status,Location,,,,,
Lease Agreement,Yes,Workpapers/Contracts,,,,,
Ownership Percentages,Yes,Workpapers/Entity,,,,,
Material Participation Proof,Yes,Hour logs,,,,,
Rent at Fair Market Value?,Yes,Appraisal on file,,,,,
Business Purpose Documented?,Yes,Memo to file,,,,,
Grouping Election Filed?,No,Consider for 2024,,,,,
