Entity,Trade/Business?,SSTB?,Box 20 QBI,W-2 Wages,UBIA Property,Wage Limit (25%),Wage/Property Limit,Applied Limit,Final QBI
ABC Operating LLC,Yes,No,-50000,200000,500000,=E2*0.25,=(E2*0.25)+(F2*0.025),=IF(D2>0;MIN(D2;MAX(G2;H2));D2),=MIN(D2;I2)
DEF Properties LP,No,N/A,0,0,0,=E3*0.25,=(E3*0.25)+(F3*0.025),=IF(D3>0;MIN(D3;MAX(G3;H3));D3),=MIN(D3;I3)
GHI Real Estate LLC,Yes,No,0,0,800000,=E4*0.25,=(E4*0.25)+(F4*0.025),=IF(D4>0;MIN(D4;MAX(G4;H4));D4),=MIN(D4;I4)
JKL Holdings S Corp,Yes,Yes,15000,150000,100000,=E5*0.25,=(E5*0.25)+(F5*0.025),=IF(D5>0;MIN(D5;MAX(G5;H5));D5),=MIN(D5;I5)
,,,,,,,,,
AGGREGATION ANALYSIS,,,,,,,,,
Group Name,Entities Included,Combined QBI,Combined Wages,Combined UBIA,Limitation Before,Limitation After,Benefit,,
All Operating,ABC + JKL,-35000,350000,600000,-35000,-35000,0,,
Real Estate Only,GHI alone,0,0,800000,0,0,0,,
,,,,,,,,,
QBI LOSS CARRYFORWARD,,,,,,,,,
Entity,2021 Loss,2022 Loss,2023 Loss,2024 Loss,Total Suspended,2024 Income,Released,Remaining,
ABC Operating LLC,0,0,-10000,-50000,-60000,0,0,-60000,
JKL Holdings S Corp,0,0,0,0,0,15000,0,0,
Total,,,,,-60000,15000,0,-60000,
,,,,,,,,,
TAXABLE INCOME LIMITATION,,,,,,,,,
Taxable Income Before QBI,20% Limitation,Total QBI Calculated,Limited QBI Deduction,Benefit Lost,,,,
250000,=A20*0.2,-35000,=MIN(C20;B20),=MAX(0;C20-D20),,,,
